#{"t_start": 1683782990.5241468, "env_id": null}
r,l,t
-94.8,53,210.220891
-93.5,66,210.776292
-93.600006,65,210.954402
-94.700005,54,213.062099
-93.200005,69,213.327315
-93.600006,65,213.403705
-92.3,78,213.559777
-93.600006,65,214.513378
-92.600006,75,214.513449
-93.3,68,214.74015
-92.50001,76,214.982683
-91.8,83,214.982819
-93.00001,71,215.644927
-92.9,72,216.361645
-92.700005,74,216.361728
-95.0,51,216.860479
-94.5,56,217.625673
-93.4,67,218.442123
-93.3,68,218.67855
-94.4,57,218.81848
-93.5,66,219.871941
-92.700005,74,220.148448
-94.9,52,220.488439
-93.00001,71,220.624036
-92.700005,74,222.256935
-91.4,87,222.521924
-92.8,73,222.601712
-93.600006,65,222.777801
-94.600006,55,222.77787
-89.399994,107,223.530433
-94.8,53,224.493813
-92.4,77,224.944588
-94.5,56,225.068835
-92.9,72,225.696921
-91.100006,90,226.136333
-92.4,77,226.851169
-94.8,53,227.088582
-93.4,67,228.032759
-93.600006,65,228.032838
-94.5,56,228.032858
-91.700005,84,229.103781
-91.90001,82,229.180834
-94.9,52,229.277954
-94.8,53,230.286974
-92.9,72,230.662457
-92.200005,79,230.865352
-94.600006,55,231.267153
-93.4,67,232.40671
-94.600006,55,232.406796
-91.4,87,232.57003
-93.600006,65,233.086487
-91.90001,82,234.352696
-92.8,73,234.655546
-94.8,53,234.655621
-92.50001,76,234.944263
-91.90001,82,235.424421
-93.3,68,235.881632
-94.8,53,236.31717
-94.9,52,236.517112
-92.700005,74,236.845799
-91.5,86,236.897335
-94.700005,54,237.239845
-92.700005,74,238.07962
-94.600006,55,238.669087
-94.8,53,238.824335
-94.700005,54,239.251365
-95.0,51,239.655502
-92.9,72,240.571587
-94.8,53,241.426608
-93.5,66,241.51387
-93.5,66,241.920954
-92.8,73,242.686276
-94.600006,55,242.738863
-94.8,53,243.260744
-92.9,72,243.353398
-95.0,51,244.11302
-91.5,86,244.193766
-92.3,78,245.628522
-94.4,57,246.791767
-93.700005,64,246.992333
-90.7,94,247.41696
-94.700005,54,247.417032
-92.8,73,247.619271
-94.700005,54,247.881844
-91.4,87,247.95944
-94.700005,54,247.959514
-94.9,52,248.495089
-94.700005,54,248.699585
-91.700005,84,249.747624
-94.8,53,251.363533
-94.600006,55,251.363614
-94.9,52,252.152088
-91.600006,85,252.635626
-92.700005,74,253.442761
-92.8,73,253.630883
-92.3,78,253.817093
-93.3,68,254.052318
-92.4,77,255.039303
-93.600006,65,255.099294
-91.100006,90,255.329427
-94.5,56,255.98263
-94.700005,54,256.598426
-95.0,51,256.815089
-88.899994,112,257.16849
-92.50001,76,257.624585
-94.9,52,257.99508
-94.8,53,258.262129
-93.4,67,259.170699
-95.0,51,259.498363
-94.8,53,259.985557
-94.8,53,260.530129
-92.3,78,260.693672
-93.200005,69,261.088031
-93.5,66,262.292243
-94.700005,54,262.627225
-94.8,53,262.796088
-92.700005,74,263.492996
-92.9,72,263.773839
-94.5,56,264.104853
-91.5,86,264.190882
-94.700005,54,264.423709
-92.8,73,265.265925
-93.4,67,266.096596
-92.700005,74,266.936469
-94.8,53,267.112072
-94.700005,54,267.315281
-92.100006,80,267.687992
-94.5,56,268.243036
-92.9,72,268.336564
-94.600006,55,268.416284
-94.9,52,269.746637
-92.700005,74,270.558496
-95.0,51,271.298604
-91.200005,89,271.740113
-91.5,86,271.817311
-94.600006,55,271.942333
-93.00001,71,272.151824
-94.700005,54,272.734367
-94.100006,60,272.734442
-94.8,53,272.811524
-92.00001,81,273.736083
-93.4,67,273.86466
-95.0,51,273.86475
-94.8,53,274.700252
-94.5,56,275.541547
-94.8,53,275.792317
-94.600006,55,276.925773
-92.600006,75,277.769451
-94.8,53,277.857579
-93.4,67,277.977671
-93.200005,69,278.084515
-91.90001,82,278.491952
-94.8,53,278.805743
-90.8,93,278.896428
-93.5,66,278.979775
-93.3,68,279.135114
-94.8,53,280.068993
-93.3,68,282.618745
-91.5,86,282.618824
-93.9,62,283.077738
-94.8,53,283.331994
-94.700005,54,283.576479
-94.8,53,283.658837
-93.5,66,283.658907
-93.100006,70,283.894826
-92.8,73,283.894903
-93.4,67,284.064983
-94.700005,54,284.572746
-92.600006,75,285.115136
-94.700005,54,286.789232
-94.700005,54,287.201565
-94.700005,54,287.392296
-94.700005,54,287.762729
-94.600006,55,287.823597
-94.8,53,287.926875
-95.0,51,288.050744
-93.100006,70,288.129934
-92.700005,74,289.26714
-92.700005,74,289.586801
-93.5,66,290.261556
-94.700005,54,291.09691
-94.600006,55,291.83761
-94.8,53,292.079842
-89.899994,102,292.490565
-92.9,72,293.723818
-92.600006,75,293.818627
-91.600006,85,294.01952
-94.700005,54,294.592027
-91.700005,84,294.79353
-93.4,67,295.047113
-91.3,88,295.222674
-94.8,53,295.463088
-91.700005,84,296.123903
-94.700005,54,296.511371
-94.8,53,296.982192
-93.8,63,297.106453
-94.700005,54,298.24843
-94.700005,54,299.062027
-93.5,66,299.492799
-94.700005,54,299.492873
-94.700005,54,299.699532
-92.600006,75,299.920066
-93.5,66,300.253484
-93.3,68,300.997942
-93.4,67,301.931396
-92.700005,74,302.052905
-93.00001,71,302.662247
-92.700005,74,303.019843
-94.700005,54,303.365699
-94.8,53,303.684749
-94.600006,55,303.871957
-93.00001,71,303.993333
-94.9,52,304.081836
-94.9,52,305.182105
-93.100006,70,305.800627
-94.8,53,306.377368
-91.100006,90,306.84584
-93.3,68,307.411416
-93.3,68,308.144613
-93.600006,65,308.574542
-93.700005,64,309.093935
-93.8,63,309.094017
-92.600006,75,309.094036
-93.4,67,309.145851
-93.200005,69,309.681343
-93.3,68,310.585366
-94.8,53,310.585446
-94.9,52,310.886846
-93.5,66,310.968188
-94.600006,55,311.62137
-94.700005,54,312.118998
-94.9,52,312.849493
-94.700005,54,312.971146
-95.0,51,313.333793
-93.200005,69,314.180218
-95.100006,50,314.650025
-91.8,83,314.908178
-94.8,53,315.013294
-92.3,78,315.013368
-94.600006,55,315.90912
-92.700005,74,316.218821
-92.50001,76,316.335881
-93.3,68,317.55402
-92.50001,76,318.81347
-94.8,53,319.094477
-92.3,78,319.402982
-91.600006,85,319.639467
-93.5,66,320.005123
-93.5,66,320.084772
-92.9,72,320.25708
-90.6,95,321.636011
-93.3,68,321.636088
-92.50001,76,321.79296
-92.8,73,321.871036
-94.4,57,321.949298
-94.8,53,323.205205
-94.600006,55,323.803972
-93.600006,65,323.935397
-94.600006,55,324.002858
-94.8,53,325.906903
-92.700005,74,326.186367
-92.4,77,326.273529
-91.90001,82,326.584798
-93.200005,69,327.3072
-93.200005,69,327.41728
-94.8,53,327.594541
-92.4,77,328.146417
-94.8,53,328.234642
-91.8,83,328.312823
-93.4,67,329.291741
-93.00001,71,329.858963
-94.700005,54,330.729069
-93.4,67,331.608402
-94.700005,54,331.801634
-92.700005,74,331.881187
-94.5,56,332.63855
-94.700005,54,332.638634
-92.700005,74,333.416998
-94.700005,54,333.417072
-91.3,88,333.53436
-93.00001,71,333.88337
-91.8,83,333.959138
-93.600006,65,334.92768
-93.5,66,335.964271
-94.600006,55,336.045036
-94.700005,54,337.028006
-93.5,66,337.146389
-94.700005,54,337.961395
-93.4,67,338.117962
-94.5,56,338.555284
-91.8,83,338.672956
-93.3,68,339.180814
-92.700005,74,340.106609
-94.9,52,340.397948
-94.8,53,340.398039
-91.5,86,340.803042
-93.00001,71,340.927061
-94.700005,54,342.432518
-94.700005,54,342.950723
-92.600006,75,343.156631
-93.700005,64,343.283561
-94.700005,54,343.440083
-91.5,86,343.907618
-91.0,91,345.636636
-93.5,66,345.734962
-92.4,77,345.858983
-94.8,53,346.211913
-92.50001,76,346.589263
-91.8,83,346.667739
-91.700005,84,346.791311
-94.8,53,347.452552
-94.8,53,348.045911
-92.9,72,348.467574
-93.3,68,348.570134
-92.8,73,348.957059
-94.8,53,350.071995
-94.8,53,350.305288
-93.5,66,351.087058
-94.600006,55,351.244857
-94.4,57,351.44076
-93.700005,64,351.568319
-92.8,73,352.628856
-94.8,53,352.862376
-94.9,52,353.104738
-92.8,73,354.346607
-91.5,86,354.425737
-91.3,88,355.257002
-94.5,56,355.788889
-93.4,67,355.788968
-92.600006,75,356.175459
-94.8,53,385.613855
-92.8,73,385.696712
-92.600006,75,386.235013
-91.8,83,386.954965
-92.9,72,387.407497
-94.700005,54,387.485449
-93.00001,71,387.609902
-93.4,67,388.662537
-94.8,53,388.858987
-92.9,72,389.851108
-93.3,68,390.546395
-93.600006,65,391.116466
-93.4,67,391.201313
-90.7,94,392.225361
-92.700005,74,392.384802
-93.3,68,393.007563
-93.200005,69,393.172812
-94.700005,54,393.251542
-92.700005,74,393.645061
-94.8,53,394.093872
-91.100006,90,394.304016
